trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",30,0,-208.48253035964558,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067554}",30,0,-97.18675050236733,"{0: 17, 1: 6, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,0,-140.67702518875993,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-143.73884295089812,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9512294245007139}",35,0,-278.0311350573485,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 5}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-107.89396925851861,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059482}",25,5,-88.39956489435488,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",1
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-88.10808302618116,"{0: 17, 1: 0, 2: 5, 3: 3, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",30,0,-87.7148505152217,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-63.152177236757524,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-156.2401141098798,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-219.20650798830357,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205614}",20,2,-68.2400934853302,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.8693582353988057}",20,0,-146.8160689508821,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,0,-112.01384096583187,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,0,-176.81659778863207,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",30,0,-185.8708966071092,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
