trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.35, 'e': 0.9704455335485082}",35,0,-231.33785712822564,"{0: 19, 1: 2, 2: 10, 3: 1, 4: 3}",0
2,False,"{'a': 0.35, 'e': 0.9417645335842487}",25,0,-121.42380045229226,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
3,False,"{'a': 0.35, 'e': 0.9139311852712282}",30,0,-122.0066901958746,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
4,False,"{'a': 0.35, 'e': 0.8869204367171575}",25,0,-114.71659963341727,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.35, 'e': 0.8607079764250578}",20,0,-112.58285604779932,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.35, 'e': 0.835270211411272}",25,0,-96.90060793763423,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.35, 'e': 0.8105842459701872}",30,0,-301.61850051256255,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 6}",0
8,False,"{'a': 0.35, 'e': 0.7866278610665534}",30,0,-211.56582454215553,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
9,False,"{'a': 0.35, 'e': 0.7633794943368533}",35,0,-165.90369757509518,"{0: 21, 1: 7, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.35, 'e': 0.7408182206817179}",20,0,-94.69203453794508,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
11,False,"{'a': 0.35, 'e': 0.7189237334319262}",25,0,-85.79861968989684,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.35, 'e': 0.6976763260710311}",20,0,-54.480922307142144,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.35, 'e': 0.6770568744981647}",25,0,-123.90388082958818,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.35, 'e': 0.6570468198150569}",25,0,-152.7184355479553,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.35, 'e': 0.6376281516217733}",20,0,-50.38991441109967,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.35, 'e': 0.6187833918061408}",30,0,-179.0615173535837,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.35, 'e': 0.6004955788122659}",20,0,-57.76555852037068,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.35, 'e': 0.5827482523739896}",25,0,-79.80054405977975,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
19,False,"{'a': 0.35, 'e': 0.5655254386995371}",20,0,-63.271504615971565,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.35, 'e': 0.5488116360940265}",25,0,-255.83727449551526,"{0: 9, 1: 4, 2: 8, 3: 0, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",25,0,-309.8555534931339,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 6}",0
2,True,"{'a': 0, 'e': 0}",20,0,-40.96102189418058,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-64.36655120601084,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-179.9307912703407,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,0,-131.7641019203462,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-166.63948622606216,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-47.59590218531264,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-112.33358859304938,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-6.727016431326968,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",35,4,-137.78905805457475,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 1}",1
